lon,lat
-81.322314,24.685059
-81.420068,24.75
-81.42168,24.732617
-81.379053,24.66626
-81.379053,24.636279
-81.364795,24.629932
-81.334814,24.650488
-81.319824,24.667627
-81.322314,24.685059
NaN,NaN
-80.799414,24.846289
-80.838867,24.817871
-80.84834,24.803662
-80.829395,24.803662
-80.786768,24.821045
-80.785205,24.835254
-80.799414,24.846289
NaN,NaN
-80.625684,24.941113
-80.665137,24.898438
-80.638281,24.903174
-80.6146,24.937939
-80.625684,24.941113
NaN,NaN
-76.349854,18.151855
-76.700732,18.257178
-76.793262,18.304297
-76.908203,18.39043
-76.959375,18.401855
-77.01377,18.40293
-77.139551,18.421484
-77.261475,18.457422
-77.354248,18.466455
-77.451611,18.467041
-77.873437,18.522217
-77.926855,18.500684
-77.978174,18.467822
-78.094531,18.444824
-78.216699,18.448096
-78.252441,18.42627
-78.325977,18.349756
-78.339502,18.287207
-78.294092,18.218066
-78.073633,18.191162
-78.044482,18.173828
-77.962988,18.047559
-77.881299,18.019043
-76.349854,18.151855
NaN,NaN
-74.513135,20.38457
-74.662451,20.522119
-74.73208,20.573193
-74.882568,20.650635
-74.959717,20.672656
-75.213281,20.713867
-75.338135,20.701611
-75.524609,20.71665
-75.642773,20.733496
-75.724561,20.714551
-75.752979,20.736182
-75.7604,20.775537
-75.740234,20.811963
-75.597266,20.837646
-75.662939,20.898145
-75.638525,20.947461
-75.595801,20.994678
-75.63374,21.061328
-75.722949,21.111035
-75.899023,21.114258
-76.073633,21.133447
-76.259229,21.227393
-76.455176,21.273633
-76.551709,21.272119
-76.647412,21.284521
-76.688525,21.34043
-76.726074,21.358887
-76.76499,21.362402
-76.867432,21.33042
-76.859814,21.364795
-76.836328,21.399512
-76.928076,21.458984
-77.098633,21.589014
-77.140967,21.538623
-77.20791,21.478857
-77.252881,21.483496
-77.26958,21.537891
-77.366162,21.612646
-77.244531,21.59375
-77.18125,21.597656
-77.144141,21.643604
-77.22207,21.672412
-77.299512,21.712256
-77.342139,21.755273
-77.497266,21.871631
-77.583154,21.889258
-77.57334,21.868311
-77.506543,21.811035
-77.497119,21.78833
-77.545117,21.774609
-77.636816,21.797363
-77.865039,21.900586
-77.970508,21.971973
-78.143115,22.109424
-78.686475,22.366846
-78.719238,22.358057
-78.775977,22.367334
-78.835449,22.390918
-78.901904,22.395996
-79.183008,22.387891
-79.275684,22.407617
-79.358301,22.448926
-79.456494,22.509863
-79.549219,22.577783
-79.67666,22.743066
-79.850732,22.827197
-79.820264,22.887012
-79.923535,22.869141
-79.959912,22.876904
-80.075244,22.942334
-80.167627,22.949365
-80.266162,22.934961
-80.364893,22.943408
-80.459229,22.975
-80.550488,23.016602
-80.613428,23.08374
-80.650146,23.103076
-81.007666,23.089844
-81.144629,23.054932
-81.178613,23.059668
-81.271631,23.128613
-81.262354,23.156836
-81.363623,23.129688
-81.575439,23.116504
-81.837451,23.163037
-82.101367,23.19043
-82.350537,23.153955
-82.587793,23.064551
-82.66582,23.043555
-83.177246,22.983008
-83.257812,22.967578
-84.044922,22.666016
-84.121777,22.618555
-84.281348,22.474219
-84.361279,22.378906
-84.383008,22.255566
-84.326367,22.074316
-84.373145,22.035938
-84.433057,22.031299
-84.494238,22.041602
-84.532764,22.031152
-84.877246,21.894141
-84.887207,21.856982
-84.838232,21.82793
-84.78584,21.842285
-84.682666,21.899072
-84.626904,21.920361
-84.56001,21.933008
-84.501367,21.930273
-84.490918,21.854297
-84.502588,21.776172
-84.448828,21.79165
-84.240674,21.89834
-84.13833,21.929004
-84.030957,21.943115
-83.998047,21.980127
-83.96333,22.09209
-83.932715,22.149658
-83.900732,22.170117
-83.686621,22.179932
-83.643066,22.188965
-83.601514,22.20874
-83.544043,22.208936
-83.485937,22.187109
-83.379639,22.222998
-83.292139,22.303223
-83.189404,22.35542
-83.14375,22.386475
-83.107129,22.429883
-83.009424,22.514014
-82.86123,22.595117
-82.786377,22.65835
-82.738037,22.689258
-81.903418,22.679004
-81.838818,22.672461
-81.789893,22.657031
-81.745654,22.63291
-81.702734,22.591895
-81.683252,22.534814
-81.710352,22.49668
-81.75708,22.466748
-81.973047,22.421826
-82.077734,22.387695
-81.972607,22.290869
-81.849414,22.213672
-81.816211,22.200195
-81.441113,22.183789
-81.355273,22.104102
-81.284375,22.109424
-81.222412,22.14292
-81.199561,22.20293
-81.185498,22.267969
-81.141406,22.206934
-81.11665,22.134229
-81.083105,22.097949
-81.035645,22.073584
-80.961914,22.052881
-80.499072,22.063525
-80.484814,22.087158
-80.485449,22.123437
-80.39292,22.03374
-80.310693,21.933398
-80.231348,21.872168
-80.13833,21.829248
-79.910303,21.742578
-79.357422,21.585156
-79.274414,21.562646
-79.189209,21.552832
-78.822949,21.618945
-78.727686,21.592725
-78.636475,21.515527
-78.576562,21.413818
-78.537256,21.296826
-78.490771,21.053711
-78.453857,21.010986
-78.406348,20.973877
-78.313867,20.92749
-78.116357,20.761865
-77.997314,20.715381
-77.856885,20.713623
-77.592725,20.690088
-77.467041,20.689502
-77.347559,20.672363
-77.22959,20.64375
-77.205469,20.61084
-77.188965,20.559961
-77.10791,20.49165
-77.093018,20.45293
-77.103809,20.40752
-77.149414,20.347266
-77.213379,20.300391
-77.55376,20.082129
-77.715088,19.855469
-77.463184,19.861377
-77.211963,19.89375
-76.999463,19.892822
-76.890234,19.921338
-76.779736,19.940186
-76.515625,19.956689
-76.252832,19.987158
-76.158447,19.989746
-75.765137,19.9604
-75.657227,19.932227
-75.551953,19.891113
-75.290479,19.893115
-75.219434,19.923633
-75.177295,19.959375
-75.151611,20.00835
-75.121973,19.953906
-75.124121,19.924658
-75.116406,19.901416
-75.003174,19.928564
-74.955127,19.95791
-74.850049,20.002295
-74.634766,20.058154
-74.412158,20.075342
-74.252832,20.079687
-74.217432,20.117139
-74.153711,20.168555
-74.136816,20.231934
-74.16748,20.292187
-74.198486,20.311475
-74.233887,20.326416
-74.272803,20.317383
-74.384375,20.330469
-74.513135,20.38457
NaN,NaN
-72.219824,19.744629
-72.429932,19.813281
-72.637012,19.900879
-72.876514,19.928076
-73.117773,19.903809
-73.217773,19.883691
-73.315332,19.85459
-73.400537,19.807422
-73.438379,19.722119
-73.396338,19.658691
-73.315527,19.637305
-73.052734,19.610742
-72.863428,19.526074
-72.703223,19.441064
-72.741797,19.341846
-72.767969,19.240625
-72.741211,19.131348
-72.811084,19.071582
-72.649121,18.894141
-72.465234,18.743555
-72.347656,18.674951
-72.346729,18.62373
-72.376074,18.574463
-72.418115,18.558691
-72.618066,18.550781
-72.659766,18.515332
-72.695996,18.468213
-72.739453,18.442139
-72.789355,18.434814
-72.917285,18.455713
-73.591602,18.522363
-73.687012,18.565332
-73.8625,18.575439
-73.975977,18.601416
-74.100342,18.641113
-74.227734,18.662695
-74.284473,18.656689
-74.3875,18.624707
-74.478125,18.45
-74.459961,18.393066
-74.419043,18.346191
-74.194629,18.269189
-74.0854,18.215137
-73.989453,18.143164
-73.884961,18.041895
-73.83916,18.058203
-73.824707,18.121777
-73.747314,18.190234
-73.644043,18.229053
-73.514844,18.245361
-73.385156,18.251172
-73.272266,18.233545
-73.160059,18.205615
-72.87666,18.151758
-72.755273,18.156152
-72.633301,18.176221
-72.591895,18.186914
-72.553223,18.208398
-72.503564,18.219922
-72.059863,18.228564
-72.002051,18.212012
NaN,NaN
-73.170605,18.967285
-73.276416,18.954053
-73.285254,18.896729
-73.077979,18.790918
-72.822217,18.707129
-72.80459,18.777686
-72.919238,18.861475
-73.069141,18.932031
-73.170605,18.967285
NaN,NaN
-88.941113,29.680225
-88.943604,29.660254
-88.889307,29.712598
-88.872656,29.752979
-88.901172,29.732617
-88.941113,29.680225
NaN,NaN
-88.722852,30.264258
-88.713086,30.244922
-88.659229,30.225586
-88.570654,30.204785
-88.558105,30.215918
-88.573975,30.22915
-88.722852,30.264258
NaN,NaN
-88.109375,30.27373
-88.263916,30.254736
-88.31626,30.24043
-88.289746,30.23291
-88.159326,30.230908
-88.071338,30.252344
-88.109375,30.27373
NaN,NaN
-77.45127,25.080713
-77.527344,25.057666
-77.561914,25.030029
-77.541211,25.013574
-77.460498,24.993115
-77.347559,25.013867
-77.269141,25.043848
-77.275586,25.055762
-77.329102,25.083008
-77.45127,25.080713
NaN,NaN
-81.085254,24.73418
-81.137354,24.710498
-81.08999,24.693115
-81.044189,24.716797
-80.988916,24.727881
-80.930469,24.759473
-81.085254,24.73418
NaN,NaN
-76.622266,34.694531
-76.54624,34.654883
-76.568506,34.652539
-76.607812,34.663574
-76.661963,34.684668
-76.673926,34.700146
-76.622266,34.694531
NaN,NaN
-75.781934,35.190186
-75.864941,35.174121
-75.98418,35.123096
-75.963672,35.118848
-75.781934,35.190186
NaN,NaN
-75.650781,35.835596
-75.635693,35.855908
-75.63667,35.880664
-75.648877,35.9104
-75.717187,35.946143
-75.650781,35.835596
NaN,NaN
-75.378516,37.87207
-75.333057,37.888281
NaN,NaN
-75.503516,35.769141
-75.504297,35.7354
-75.48125,35.572119
-75.487891,35.479492
-75.536377,35.278613
-75.690088,35.221582
-75.678271,35.212842
-75.544141,35.240088
-75.509326,35.280322
-75.464746,35.448633
-75.456445,35.56416
-75.478516,35.716504
-75.503516,35.769141
NaN,NaN
-76.437012,34.756348
-76.528564,34.631494
-76.503662,34.642969
-76.357715,34.803662
-76.207373,34.938916
-76.256201,34.914697
-76.437012,34.756348
NaN,NaN
-95.089648,29.136328
-95.039697,29.145898
-94.864941,29.252881
-94.767627,29.339062
-94.825977,29.341309
-94.87168,29.290137
-95.089648,29.136328
NaN,NaN
-85.049316,29.637793
-85.116748,29.632812
-85.008252,29.606641
-84.90791,29.642627
-84.737158,29.732422
-84.812207,29.717627
-84.877002,29.678662
-85.000537,29.627197
-85.049316,29.637793
NaN,NaN
-81.463477,30.727783
-81.418994,30.971436
-81.450928,30.947412
-81.484619,30.897852
-81.482715,30.814062
-81.463477,30.727783
NaN,NaN
-89.184668,30.168652
-89.276465,30.11084
-89.287646,30.094189
-89.310059,30.078711
-89.341992,30.062842
-89.269434,30.060742
-89.220459,30.037598
-89.223975,30.084082
-89.210693,30.126221
-89.184668,30.168652
NaN,NaN
-91.796484,29.596973
-91.875244,29.640967
-91.925049,29.643945
-92.006641,29.610303
-91.99624,29.573096
-91.830859,29.486475
-91.793701,29.500732
-91.761914,29.539014
-91.754297,29.566895
-91.767676,29.584717
-91.796484,29.596973
NaN,NaN
-88.827979,29.928369
-88.855664,29.775879
-88.827441,29.807715
-88.812598,29.93335
-88.825879,30.000391
-88.866895,30.056738
-88.827979,29.928369
NaN,NaN
-77.531885,23.939404
-77.536816,23.96167
-77.532031,23.987646
-77.561523,24.136816
-77.615381,24.216357
-77.683252,24.118457
-77.755273,24.163477
-77.656152,24.226562
-77.657715,24.249463
-77.701465,24.287549
-77.757422,24.269922
-77.849561,24.25752
-77.883594,24.241992
-77.950049,24.253076
-77.999902,24.219824
-77.914062,24.090918
-77.852246,24.040381
-77.806299,23.883545
-77.775781,23.862354
-77.771289,23.752539
